"","X1","UID","iso2","iso3","code3","FIPS","Admin2","Lat","Combined_Key","Date","Case","Long","Country/Region","Province/State"
"1",196132,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-22,0,-73.97723916,"US","New York"
"2",196133,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-23,0,-73.97723916,"US","New York"
"3",196134,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-24,0,-73.97723916,"US","New York"
"4",196135,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-25,0,-73.97723916,"US","New York"
"5",196136,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-26,0,-73.97723916,"US","New York"
"6",196137,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-27,0,-73.97723916,"US","New York"
"7",196138,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-28,0,-73.97723916,"US","New York"
"8",196139,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-29,0,-73.97723916,"US","New York"
"9",196140,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-30,0,-73.97723916,"US","New York"
"10",196141,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-01-31,0,-73.97723916,"US","New York"
"11",196142,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-01,0,-73.97723916,"US","New York"
"12",196143,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-02,0,-73.97723916,"US","New York"
"13",196144,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-03,0,-73.97723916,"US","New York"
"14",196145,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-04,0,-73.97723916,"US","New York"
"15",196146,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-05,0,-73.97723916,"US","New York"
"16",196147,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-02-06,0,-73.97723916,"US","New York"
