"","Date","Case"
"1",2020-01-22,0
"2",2020-01-23,0
"3",2020-01-24,0
"4",2020-01-25,0
"5",2020-01-26,0
"6",2020-01-27,0
"7",2020-01-28,0
"8",2020-01-29,0
"9",2020-01-30,0
"10",2020-01-31,0
"11",2020-02-01,0
"12",2020-02-02,0
"13",2020-02-03,0
"14",2020-02-04,0
"15",2020-02-05,0
"16",2020-02-06,0
"17",2020-02-07,0
"18",2020-02-08,0
"19",2020-02-09,0
"20",2020-02-10,0
"21",2020-02-11,0
"22",2020-02-12,0
"23",2020-02-13,0
"24",2020-02-14,0
"25",2020-02-15,0
"26",2020-02-16,0
"27",2020-02-17,0
"28",2020-02-18,0
"29",2020-02-19,0
"30",2020-02-20,0
"31",2020-02-21,0
"32",2020-02-22,0
"33",2020-02-23,0
"34",2020-02-24,0
"35",2020-02-25,0
"36",2020-02-26,0
"37",2020-02-27,0
"38",2020-02-28,0
"39",2020-02-29,0
"40",2020-03-01,0
"41",2020-03-02,0
"42",2020-03-03,0
"43",2020-03-04,0
"44",2020-03-05,0
"45",2020-03-06,0
"46",2020-03-07,0
"47",2020-03-08,0
"48",2020-03-09,0
"49",2020-03-10,0
"50",2020-03-11,0
"51",2020-03-12,2
"52",2020-03-13,2
"53",2020-03-14,7
"54",2020-03-15,7
"55",2020-03-16,15
"56",2020-03-17,25
"57",2020-03-18,36
"58",2020-03-19,43
"59",2020-03-20,70
"60",2020-03-21,88
"61",2020-03-22,123
"62",2020-03-23,127
"63",2020-03-24,146
"64",2020-03-25,152
"65",2020-03-26,171
"66",2020-03-27,187
"67",2020-03-28,195
"68",2020-03-29,205
"69",2020-03-30,217
"70",2020-03-31,226
"71",2020-04-01,240
"72",2020-04-02,253
"73",2020-04-03,267
"74",2020-04-04,293
"75",2020-04-05,305
"76",2020-04-06,319
"77",2020-04-07,333
"78",2020-04-08,342
"79",2020-04-09,379
"80",2020-04-10,426
"81",2020-04-11,446
"82",2020-04-12,478
"83",2020-04-13,499
"84",2020-04-14,535
"85",2020-04-15,548
"86",2020-04-16,581
"87",2020-04-17,619
"88",2020-04-18,648
"89",2020-04-19,682
"90",2020-04-20,687
"91",2020-04-21,704
"92",2020-04-22,737
"93",2020-04-23,758
"94",2020-04-24,805
"95",2020-04-25,899
"96",2020-04-26,948
"97",2020-04-27,979
"98",2020-04-28,1009
"99",2020-04-29,1067
"100",2020-04-30,1165
"101",2020-05-01,1204
"102",2020-05-02,1238
"103",2020-05-03,1258
"104",2020-05-04,1287
"105",2020-05-05,1294
"106",2020-05-06,1321
"107",2020-05-07,1348
"108",2020-05-08,1384
"109",2020-05-09,1416
"110",2020-05-10,1432
"111",2020-05-11,1456
"112",2020-05-12,1479
"113",2020-05-13,1494
"114",2020-05-14,1509
"115",2020-05-15,1538
"116",2020-05-16,1572
"117",2020-05-17,1579
"118",2020-01-22,0
"119",2020-01-23,0
"120",2020-01-24,0
"121",2020-01-25,0
"122",2020-01-26,0
"123",2020-01-27,0
"124",2020-01-28,0
"125",2020-01-29,0
"126",2020-01-30,0
"127",2020-01-31,0
"128",2020-02-01,0
"129",2020-02-02,0
"130",2020-02-03,0
"131",2020-02-04,0
"132",2020-02-05,0
"133",2020-02-06,0
"134",2020-02-07,0
"135",2020-02-08,0
"136",2020-02-09,0
"137",2020-02-10,0
"138",2020-02-11,0
"139",2020-02-12,0
"140",2020-02-13,0
"141",2020-02-14,0
"142",2020-02-15,0
"143",2020-02-16,0
"144",2020-02-17,0
"145",2020-02-18,0
"146",2020-02-19,0
"147",2020-02-20,0
"148",2020-02-21,0
"149",2020-02-22,0
"150",2020-02-23,0
"151",2020-02-24,0
"152",2020-02-25,0
"153",2020-02-26,0
"154",2020-02-27,0
"155",2020-02-28,0
"156",2020-02-29,0
"157",2020-03-01,0
"158",2020-03-02,0
"159",2020-03-03,0
"160",2020-03-04,0
"161",2020-03-05,0
"162",2020-03-06,0
"163",2020-03-07,0
"164",2020-03-08,0
"165",2020-03-09,0
"166",2020-03-10,0
"167",2020-03-11,0
"168",2020-03-12,0
"169",2020-03-13,0
"170",2020-03-14,0
"171",2020-03-15,0
"172",2020-03-16,2
"173",2020-03-17,2
"174",2020-03-18,2
"175",2020-03-19,2
"176",2020-03-20,2
"177",2020-03-21,2
"178",2020-03-22,2
"179",2020-03-23,2
"180",2020-03-24,2
"181",2020-03-25,2
"182",2020-03-26,2
"183",2020-03-27,2
"184",2020-03-28,2
"185",2020-03-29,6
"186",2020-03-30,7
"187",2020-03-31,9
"188",2020-04-01,10
"189",2020-04-02,12
"190",2020-04-03,14
"191",2020-04-04,16
"192",2020-04-05,16
"193",2020-04-06,17
"194",2020-04-07,17
"195",2020-04-08,21
"196",2020-04-09,22
"197",2020-04-10,26
"198",2020-04-11,26
"199",2020-04-12,26
"200",2020-04-13,26
"201",2020-04-14,28
"202",2020-04-15,28
"203",2020-04-16,28
"204",2020-04-17,29
"205",2020-04-18,30
"206",2020-04-19,30
"207",2020-04-20,30
"208",2020-04-21,30
"209",2020-04-22,30
"210",2020-04-23,30
"211",2020-04-24,31
"212",2020-04-25,35
"213",2020-04-26,35
"214",2020-04-27,35
"215",2020-04-28,35
"216",2020-04-29,35
"217",2020-04-30,35
"218",2020-05-01,35
"219",2020-05-02,35
"220",2020-05-03,35
"221",2020-05-04,35
"222",2020-05-05,35
"223",2020-05-06,35
"224",2020-05-07,35
"225",2020-05-08,35
"226",2020-05-09,35
"227",2020-05-10,36
"228",2020-05-11,38
"229",2020-05-12,42
"230",2020-05-13,44
"231",2020-05-14,44
"232",2020-05-15,44
"233",2020-05-16,44
"234",2020-05-17,44
"235",2020-01-22,0
"236",2020-01-23,0
"237",2020-01-24,0
"238",2020-01-25,0
"239",2020-01-26,0
"240",2020-01-27,0
"241",2020-01-28,0
"242",2020-01-29,0
"243",2020-01-30,0
"244",2020-01-31,0
"245",2020-02-01,0
"246",2020-02-02,0
"247",2020-02-03,0
"248",2020-02-04,0
"249",2020-02-05,0
"250",2020-02-06,0
"251",2020-02-07,0
"252",2020-02-08,0
"253",2020-02-09,0
"254",2020-02-10,0
"255",2020-02-11,0
"256",2020-02-12,0
"257",2020-02-13,0
"258",2020-02-14,0
"259",2020-02-15,0
"260",2020-02-16,0
"261",2020-02-17,0
"262",2020-02-18,0
"263",2020-02-19,0
"264",2020-02-20,0
"265",2020-02-21,0
"266",2020-02-22,0
"267",2020-02-23,0
"268",2020-02-24,0
"269",2020-02-25,0
"270",2020-02-26,0
"271",2020-02-27,0
"272",2020-02-28,0
"273",2020-02-29,0
"274",2020-03-01,0
"275",2020-03-02,0
"276",2020-03-03,0
"277",2020-03-04,0
"278",2020-03-05,0
"279",2020-03-06,0
"280",2020-03-07,0
"281",2020-03-08,0
"282",2020-03-09,0
"283",2020-03-10,0
"284",2020-03-11,0
"285",2020-03-12,0
"286",2020-03-13,0
"287",2020-03-14,0
"288",2020-03-15,0
"289",2020-03-16,0
"290",2020-03-17,0
"291",2020-03-18,0
"292",2020-03-19,0
"293",2020-03-20,0
"294",2020-03-21,0
"295",2020-03-22,0
"296",2020-03-23,0
"297",2020-03-24,0
"298",2020-03-25,0
"299",2020-03-26,0
"300",2020-03-27,0
"301",2020-03-28,0
"302",2020-03-29,0
"303",2020-03-30,0
"304",2020-03-31,0
"305",2020-04-01,0
"306",2020-04-02,0
"307",2020-04-03,0
"308",2020-04-04,0
"309",2020-04-05,0
"310",2020-04-06,0
"311",2020-04-07,0
"312",2020-04-08,0
"313",2020-04-09,0
"314",2020-04-10,0
"315",2020-04-11,0
"316",2020-04-12,0
"317",2020-04-13,0
"318",2020-04-14,0
"319",2020-04-15,0
"320",2020-04-16,0
"321",2020-04-17,0
"322",2020-04-18,0
"323",2020-04-19,0
"324",2020-04-20,0
"325",2020-04-21,0
"326",2020-04-22,0
"327",2020-04-23,0
"328",2020-04-24,0
"329",2020-04-25,0
"330",2020-04-26,0
"331",2020-04-27,0
"332",2020-04-28,0
"333",2020-04-29,0
"334",2020-04-30,0
"335",2020-05-01,0
"336",2020-05-02,0
"337",2020-05-03,0
"338",2020-05-04,0
"339",2020-05-05,0
"340",2020-05-06,0
"341",2020-05-07,0
"342",2020-05-08,0
"343",2020-05-09,0
"344",2020-05-10,0
"345",2020-05-11,0
"346",2020-05-12,0
"347",2020-05-13,0
"348",2020-05-14,0
"349",2020-05-15,0
"350",2020-05-16,0
"351",2020-05-17,0
"352",2020-01-22,0
"353",2020-01-23,0
"354",2020-01-24,0
"355",2020-01-25,0
"356",2020-01-26,0
"357",2020-01-27,0
"358",2020-01-28,0
"359",2020-01-29,0
"360",2020-01-30,0
"361",2020-01-31,0
"362",2020-02-01,0
"363",2020-02-02,0
"364",2020-02-03,0
"365",2020-02-04,0
"366",2020-02-05,0
"367",2020-02-06,0
"368",2020-02-07,0
"369",2020-02-08,0
"370",2020-02-09,0
"371",2020-02-10,0
"372",2020-02-11,0
"373",2020-02-12,0
"374",2020-02-13,0
"375",2020-02-14,0
"376",2020-02-15,0
"377",2020-02-16,0
"378",2020-02-17,0
"379",2020-02-18,0
"380",2020-02-19,0
"381",2020-02-20,0
"382",2020-02-21,0
"383",2020-02-22,0
"384",2020-02-23,0
"385",2020-02-24,0
"386",2020-02-25,0
"387",2020-02-26,0
"388",2020-02-27,0
"389",2020-02-28,0
"390",2020-02-29,0
"391",2020-03-01,0
"392",2020-03-02,0
"393",2020-03-03,0
"394",2020-03-04,0
"395",2020-03-05,0
"396",2020-03-06,0
"397",2020-03-07,0
"398",2020-03-08,0
"399",2020-03-09,0
"400",2020-03-10,0
"401",2020-03-11,0
"402",2020-03-12,0
"403",2020-03-13,1
"404",2020-03-14,1
"405",2020-03-15,1
"406",2020-03-16,1
"407",2020-03-17,1
"408",2020-03-18,1
"409",2020-03-19,1
"410",2020-03-20,1
"411",2020-03-21,2
"412",2020-03-22,3
"413",2020-03-23,3
"414",2020-03-24,9
"415",2020-03-25,11
"416",2020-03-26,16
"417",2020-03-27,18
"418",2020-03-28,23
"419",2020-03-29,29
"420",2020-03-30,35
"421",2020-03-31,38
"422",2020-04-01,42
"423",2020-04-02,46
"424",2020-04-03,56
"425",2020-04-04,65
"426",2020-04-05,71
"427",2020-04-06,76
"428",2020-04-07,86
"429",2020-04-08,93
"430",2020-04-09,105
"431",2020-04-10,112
"432",2020-04-11,117
"433",2020-04-12,126
"434",2020-04-13,133
"435",2020-04-14,146
"436",2020-04-15,153
"437",2020-04-16,167
"438",2020-04-17,178
"439",2020-04-18,186
"440",2020-04-19,192
"441",2020-04-20,199
"442",2020-04-21,205
"443",2020-04-22,219
"444",2020-04-23,224
"445",2020-04-24,232
"446",2020-04-25,251
"447",2020-04-26,257
"448",2020-04-27,261
"449",2020-04-28,266
"450",2020-04-29,273
